1539816944937,34.83,35.69,-0.86,-1.36
1539816945125,34.83,35.71,-0.88,-1.35
1539816945328,34.89,35.61,-0.72,-1.33
1539816945531,34.81,35.59,-0.78,-1.32
1539816945719,34.83,35.59,-0.76,-1.30
1539816945937,34.81,35.59,-0.78,-1.29
1539816946125,34.81,35.97,-1.16,-1.27
1539816946328,34.83,36.07,-1.24,-1.25
1539816946531,34.83,36.29,-1.46,-1.24
1539816946719,34.81,36.37,-1.56,-1.23
1539816946922,34.83,36.33,-1.50,-1.22
1539816947125,34.81,36.23,-1.42,-1.21
1539816947328,34.83,36.21,-1.38,-1.21
1539816947531,34.83,36.37,-1.54,-1.20
1539816947735,34.83,36.49,-1.66,-1.20
1539816947922,34.85,36.63,-1.78,-1.20
1539816948125,34.85,36.81,-1.96,-1.20
1539816948328,34.85,37.09,-2.24,-1.21
1539816948531,34.83,37.43,-2.60,-1.22
1539816948735,34.81,37.59,-2.78,-1.23
1539816948922,34.81,37.69,-2.88,-1.25
1539816949125,34.81,37.83,-3.02,-1.27
1539816949329,34.81,37.85,-3.04,-1.30
1539816949532,34.85,37.99,-3.14,-1.33
1539816949719,34.77,38.01,-3.24,-1.36
1539816949922,34.77,38.01,-3.24,-1.40
1539816950125,34.77,38.09,-3.32,-1.44
1539816950329,34.83,38.11,-3.28,-1.48
1539816950532,34.89,38.19,-3.30,-1.53
1539816950735,34.85,38.05,-3.20,-1.58
1539816950922,34.81,38.05,-3.24,-1.62
1539816951126,34.89,38.05,-3.16,-1.67
1539816951329,34.81,38.01,-3.20,-1.72
1539816951532,34.83,38.03,-3.20,-1.77
1539816951720,34.81,37.99,-3.18,-1.82
1539816951923,34.81,38.03,-3.22,-1.87
1539816952126,34.85,38.01,-3.16,-1.92
1539816952329,34.75,37.93,-3.18,-1.97
1539816952532,34.91,37.91,-3.00,-2.01
1539816952719,34.77,37.85,-3.08,-2.06
1539816952923,34.89,37.79,-2.90,-2.10
1539816953126,34.81,37.77,-2.96,-2.14
1539816953329,34.85,37.79,-2.94,-2.18
1539816953532,34.81,37.85,-3.04,-2.22
1539816953725,34.83,37.77,-2.94,-2.26
1539816953929,34.89,37.79,-2.90,-2.29
1539816954132,34.89,37.77,-2.88,-2.33
1539816954335,34.81,37.75,-2.94,-2.36
1539816954522,34.81,37.75,-2.94,-2.39
1539816954726,34.77,37.75,-2.98,-2.42
1539816954929,34.77,37.71,-2.94,-2.45
1539816955116,34.81,37.71,-2.90,-2.47
1539816955319,34.77,37.75,-2.98,-2.50
1539816955522,34.81,37.69,-2.88,-2.52
1539816955726,34.81,37.67,-2.86,-2.54
1539816955929,34.89,37.69,-2.80,-2.56
1539816956132,34.75,37.71,-2.96,-2.58
1539816956319,34.85,37.63,-2.78,-2.60
1539816956523,34.69,37.61,-2.92,-2.62
1539816956726,34.75,37.63,-2.88,-2.64
1539816956913,34.71,37.51,-2.80,-2.65
1539816957132,34.75,37.49,-2.74,-2.66
1539816957320,34.75,37.53,-2.78,-2.68
1539816957523,34.75,37.55,-2.80,-2.69
1539816957726,34.75,37.53,-2.78,-2.70
1539816957929,34.77,37.53,-2.76,-2.70
1539816958117,34.77,37.51,-2.74,-2.71
1539816958320,34.71,37.49,-2.78,-2.72
1539816958523,34.71,37.51,-2.80,-2.73
1539816958726,34.75,37.51,-2.76,-2.73
1539816958929,34.71,37.51,-2.80,-2.74
1539816959117,34.75,37.49,-2.74,-2.74
1539816959320,34.77,37.49,-2.72,-2.75
1539816959523,34.85,37.53,-2.68,-2.75
1539816959726,34.75,37.51,-2.76,-2.76
1539816959929,34.81,37.55,-2.74,-2.76
1539816960117,34.81,37.59,-2.78,-2.76
1539816960320,34.77,37.49,-2.72,-2.76
1539816960523,34.71,37.53,-2.82,-2.76
1539816960726,34.85,37.49,-2.64,-2.76
1539816960914,34.75,37.45,-2.70,-2.76
1539816961117,34.77,37.43,-2.66,-2.76
1539816961320,34.81,37.43,-2.62,-2.77
1539816961523,34.75,37.41,-2.66,-2.76
1539816961727,34.69,37.45,-2.76,-2.77
1539816961914,34.71,37.37,-2.66,-2.76
1539816962117,34.75,37.43,-2.68,-2.76
1539816962320,34.71,37.49,-2.78,-2.76
1539816962523,34.75,37.43,-2.68,-2.76
1539816962727,34.75,37.49,-2.74,-2.76
1539816962914,34.71,37.51,-2.80,-2.76
1539816963117,34.75,37.51,-2.76,-2.76
1539816963320,34.71,37.53,-2.82,-2.76
1539816963523,34.75,37.49,-2.74,-2.75
1539816963727,34.75,37.49,-2.74,-2.76
1539816963914,34.71,37.51,-2.80,-2.75
1539816964117,34.71,37.53,-2.82,-2.75
1539816964321,34.75,37.49,-2.74,-2.76
1539816964524,34.71,37.49,-2.78,-2.75
1539816964711,34.69,37.51,-2.82,-2.76
1539816964914,34.71,37.59,-2.88,-2.75
1539816965117,34.71,37.53,-2.82,-2.76
1539816965320,34.71,37.49,-2.78,-2.76
1539816965523,34.71,37.45,-2.74,-2.76
1539816965711,34.71,37.43,-2.72,-2.76
1539816965915,34.75,37.45,-2.70,-2.76
1539816966118,34.75,37.49,-2.74,-2.76
1539816966321,34.69,37.49,-2.80,-2.76
1539816966524,34.71,37.45,-2.74,-2.76
1539816966727,34.69,37.49,-2.80,-2.76
1539816966915,34.77,37.49,-2.72,-2.76
1539816967118,34.69,37.45,-2.76,-2.76
1539816967321,34.75,37.51,-2.76,-2.76
1539816967508,34.69,37.45,-2.76,-2.76
1539816967727,34.71,37.49,-2.78,-2.76
1539816967914,34.71,37.45,-2.74,-2.76
1539816968118,34.77,37.45,-2.68,-2.76
1539816968321,34.71,37.49,-2.78,-2.76
1539816968508,34.71,37.49,-2.78,-2.75
1539816968711,34.75,37.45,-2.70,-2.76
1539816968915,34.75,37.45,-2.70,-2.75
1539816969118,34.77,37.45,-2.68,-2.76
1539816969321,34.77,37.49,-2.72,-2.76
1539816969524,34.75,37.45,-2.70,-2.75
1539816969712,34.75,37.45,-2.70,-2.76
1539816969915,34.67,37.49,-2.82,-2.75
1539816970118,34.71,37.53,-2.82,-2.75
1539816970321,34.69,37.51,-2.82,-2.75
1539816970524,34.71,37.51,-2.80,-2.75
1539816970712,34.71,37.53,-2.82,-2.76
1539816970915,34.69,37.59,-2.90,-2.76
1539816971118,34.71,37.51,-2.80,-2.76
1539816971306,34.71,37.61,-2.90,-2.76
1539816971524,34.69,37.53,-2.84,-2.76
1539816971712,34.69,37.67,-2.98,-2.77
1539816971915,34.71,37.59,-2.88,-2.77
1539816972118,34.75,37.51,-2.76,-2.77
1539816972321,34.83,37.59,-2.76,-2.77
1539816972509,34.77,37.59,-2.82,-2.77
1539816972712,34.83,37.59,-2.76,-2.78
1539816972915,34.75,37.53,-2.78,-2.78
1539816973118,34.75,37.51,-2.76,-2.78
1539816973321,34.77,37.43,-2.66,-2.78
1539816973509,34.77,37.43,-2.66,-2.78
1539816973712,34.67,37.41,-2.74,-2.78
1539816973915,34.75,37.37,-2.62,-2.78
1539816974118,34.71,37.41,-2.70,-2.78
1539816974321,34.69,37.35,-2.66,-2.78
1539816974509,34.67,37.33,-2.66,-2.78
1539816974712,34.59,37.35,-2.76,-2.78
1539816974915,34.61,37.41,-2.80,-2.78
1539816975118,34.61,37.37,-2.76,-2.78
1539816975322,34.61,37.41,-2.80,-2.78
1539816975509,34.61,37.43,-2.82,-2.77
1539816975712,34.61,37.45,-2.84,-2.78
1539816975915,34.67,37.43,-2.76,-2.77
1539816976119,34.63,37.51,-2.88,-2.77
1539816976306,34.63,37.49,-2.86,-2.77
1539816976509,34.61,37.49,-2.88,-2.77
1539816976712,34.59,37.59,-3.00,-2.78
1539816976915,34.63,37.61,-2.98,-2.78
1539816977119,34.61,37.55,-2.94,-2.78
1539816977306,34.55,37.55,-3.00,-2.78
1539816977509,34.47,37.61,-3.14,-2.78
1539816977712,34.51,37.59,-3.08,-2.79
1539816977916,34.47,37.59,-3.12,-2.79
1539816978119,34.53,37.59,-3.06,-2.80
1539816978306,34.55,37.55,-3.00,-2.80
1539816978509,34.63,37.49,-2.86,-2.81
1539816978712,34.61,37.45,-2.84,-2.82
1539816978916,34.63,37.55,-2.92,-2.82
1539816979103,34.67,37.53,-2.86,-2.82
1539816979306,34.67,37.49,-2.82,-2.83
1539816979509,34.67,37.49,-2.82,-2.83
1539816979712,34.77,37.49,-2.72,-2.84
1539816979915,34.67,37.37,-2.70,-2.84
1539816980103,34.63,37.41,-2.78,-2.84
1539816980306,34.63,37.51,-2.88,-2.84
1539816980509,34.69,37.49,-2.80,-2.84
1539816980712,34.67,37.41,-2.74,-2.84
1539816980916,34.71,37.43,-2.72,-2.84
1539816981103,34.71,37.37,-2.66,-2.84
1539816981306,34.71,37.41,-2.70,-2.84
1539816981509,34.71,37.37,-2.66,-2.84
1539816981713,34.69,37.43,-2.74,-2.84
1539816981900,34.71,37.45,-2.74,-2.84
1539816982119,34.69,37.33,-2.64,-2.83
1539816982307,34.67,37.41,-2.74,-2.83
1539816982510,34.67,37.45,-2.78,-2.83
1539816982713,34.67,37.41,-2.74,-2.83
1539816982900,34.61,37.37,-2.76,-2.82
1539816983104,34.63,37.37,-2.74,-2.82
1539816983307,34.69,37.49,-2.80,-2.82
1539816983510,34.63,37.41,-2.78,-2.81
1539816983713,34.67,37.37,-2.70,-2.81
1539816983901,34.67,37.37,-2.70,-2.81
1539816984104,34.67,37.41,-2.74,-2.81
1539816984307,34.71,37.41,-2.70,-2.81
1539816984510,34.71,37.37,-2.66,-2.80
1539816984713,34.75,37.29,-2.54,-2.80
1539816984916,34.71,37.37,-2.66,-2.80
1539816985104,34.75,37.45,-2.70,-2.79
1539816985307,34.69,37.35,-2.66,-2.79
1539816985510,34.71,37.27,-2.56,-2.79
1539816985697,34.69,37.37,-2.68,-2.78
1539816985916,34.67,37.43,-2.76,-2.78
1539816986119,34.71,37.33,-2.62,-2.78
1539816986307,34.63,37.37,-2.74,-2.77
1539816986510,34.67,37.41,-2.74,-2.77
1539816986697,34.75,37.41,-2.66,-2.77
1539816986901,34.69,37.35,-2.66,-2.76
1539816987104,34.67,37.35,-2.68,-2.76
1539816987307,34.69,37.35,-2.66,-2.76
1539816987510,34.71,37.35,-2.64,-2.75
1539816987713,34.69,37.29,-2.60,-2.75
1539816987901,34.69,37.29,-2.60,-2.75
1539816988104,34.69,37.35,-2.66,-2.75
1539816988307,34.71,37.33,-2.62,-2.74
1539816988510,34.69,37.35,-2.66,-2.74
1539816988713,34.75,37.41,-2.66,-2.74
1539816988901,34.69,37.33,-2.64,-2.73
1539816989104,34.71,37.33,-2.62,-2.73
1539816989307,34.71,37.33,-2.62,-2.73
1539816989510,34.67,37.29,-2.62,-2.72
1539816989713,34.71,37.37,-2.66,-2.72
1539816989901,34.67,37.41,-2.74,-2.72
1539816990104,34.67,37.37,-2.70,-2.71
1539816990307,34.71,37.33,-2.62,-2.71
1539816990510,34.69,37.41,-2.72,-2.71
1539816990697,34.67,37.35,-2.68,-2.71
1539816990901,34.71,37.33,-2.62,-2.70
1539816991104,34.69,37.33,-2.64,-2.70
1539816991307,34.69,37.35,-2.66,-2.70
1539816991510,34.67,37.35,-2.68,-2.70
1539816991698,34.67,37.33,-2.66,-2.70
1539816991901,34.67,37.29,-2.62,-2.69
1539816992104,34.67,37.27,-2.60,-2.69
1539816992307,34.63,37.35,-2.72,-2.69
1539816992510,34.67,37.33,-2.66,-2.69
1539816992698,34.69,37.37,-2.68,-2.69
1539816992901,34.67,37.41,-2.74,-2.69
1539816993104,34.69,37.41,-2.72,-2.69
1539816993307,34.67,37.27,-2.60,-2.69
1539816993510,34.67,37.41,-2.74,-2.68
1539816993698,34.69,37.29,-2.60,-2.68
1539816993901,34.71,37.33,-2.62,-2.68
1539816994104,34.75,37.33,-2.58,-2.68
1539816994307,34.75,37.29,-2.54,-2.68
1539816994510,34.71,37.25,-2.54,-2.68
1539816994698,34.81,37.33,-2.52,-2.68
1539816994901,34.81,37.27,-2.46,-2.68
1539816995104,34.75,37.29,-2.54,-2.67
1539816995307,34.75,37.33,-2.58,-2.67
1539816995495,34.71,37.29,-2.58,-2.67
1539816995698,34.71,37.35,-2.64,-2.66
1539816995901,34.69,37.25,-2.56,-2.66
1539816996104,34.67,37.35,-2.68,-2.66
1539816996307,34.71,37.41,-2.70,-2.66
1539816996495,34.69,37.29,-2.60,-2.65
1539816996698,34.71,37.41,-2.70,-2.65
1539816996901,34.67,37.27,-2.60,-2.65
1539816997104,34.67,37.33,-2.66,-2.65
1539816997307,34.71,37.33,-2.62,-2.65
1539816997495,34.63,37.29,-2.66,-2.64
1539816997698,34.69,37.33,-2.64,-2.64
1539816997901,34.71,37.33,-2.62,-2.64
1539816998104,34.69,37.33,-2.64,-2.64
1539816998307,34.69,37.35,-2.66,-2.64
1539816998495,34.67,37.29,-2.62,-2.64
1539816998698,34.67,37.35,-2.68,-2.64
1539816998901,34.69,37.33,-2.64,-2.64
1539816999105,34.69,37.37,-2.68,-2.64
1539816999308,34.69,37.33,-2.64,-2.64
1539816999495,34.69,37.37,-2.68,-2.64
1539816999698,34.69,37.37,-2.68,-2.64
1539816999901,34.71,37.35,-2.64,-2.64
1539817000105,34.75,37.35,-2.60,-2.64
1539817000308,34.69,37.35,-2.66,-2.64
1539817000511,34.69,37.37,-2.68,-2.64
1539817000698,34.69,37.35,-2.66,-2.64
1539817000901,34.69,37.35,-2.66,-2.64
1539817001105,34.69,37.37,-2.68,-2.64
1539817001292,34.71,37.35,-2.64,-2.64
1539817001495,34.69,37.37,-2.68,-2.64
1539817001698,34.71,37.35,-2.64,-2.64
1539817001902,34.69,37.33,-2.64,-2.64
1539817002105,34.67,37.33,-2.66,-2.64
1539817002292,34.67,37.33,-2.66,-2.64
1539817002495,34.71,37.33,-2.62,-2.64
1539817002698,34.69,37.37,-2.68,-2.64
1539817002902,34.71,37.29,-2.58,-2.64
1539817003105,34.69,37.33,-2.64,-2.64
1539817003292,34.75,37.35,-2.60,-2.64
1539817003495,34.71,37.37,-2.66,-2.64
1539817003698,34.75,37.37,-2.62,-2.64
1539817003902,34.69,37.37,-2.68,-2.64
1539817004105,34.69,37.37,-2.68,-2.64
1539817004292,34.71,37.35,-2.64,-2.64
1539817004495,34.75,37.35,-2.60,-2.64
1539817004698,34.69,37.35,-2.66,-2.64
1539817004902,34.69,37.33,-2.64,-2.64
1539817005105,34.71,37.37,-2.66,-2.64
1539817005292,34.67,37.33,-2.66,-2.64
1539817005495,34.71,37.35,-2.64,-2.64
1539817005699,34.71,37.37,-2.66,-2.65
1539817005886,34.71,37.33,-2.62,-2.64
1539817006105,34.71,37.33,-2.62,-2.64
1539817006293,34.75,37.37,-2.62,-2.65
1539817006496,34.71,37.37,-2.66,-2.64
1539817006699,34.71,37.37,-2.66,-2.65
1539817006902,34.69,37.33,-2.64,-2.64
1539817007090,34.69,37.35,-2.66,-2.65
1539817007293,34.71,37.35,-2.64,-2.65
1539817007496,34.71,37.35,-2.64,-2.64
1539817007699,34.67,37.33,-2.66,-2.65
1539817007902,34.67,37.35,-2.68,-2.64
1539817008090,34.71,37.35,-2.64,-2.65
1539817008293,34.71,37.33,-2.62,-2.65
1539817008496,34.71,37.37,-2.66,-2.64
1539817008699,34.75,37.27,-2.52,-2.65
1539817008902,34.69,37.25,-2.56,-2.65
1539817009090,34.69,37.27,-2.58,-2.65
1539817009293,34.71,37.29,-2.58,-2.65
1539817009496,34.63,37.29,-2.66,-2.64
1539817009699,34.69,37.29,-2.60,-2.64
1539817009902,34.63,37.35,-2.72,-2.64
1539817010090,34.63,37.29,-2.66,-2.64
1539817010293,34.69,37.35,-2.66,-2.64
1539817010496,34.67,37.29,-2.62,-2.64
1539817010699,34.67,37.29,-2.62,-2.64
1539817010887,34.69,37.29,-2.60,-2.64
1539817011090,34.67,37.29,-2.62,-2.64
1539817011293,34.63,37.27,-2.64,-2.64
1539817011496,34.71,37.33,-2.62,-2.64
1539817011699,34.67,37.33,-2.66,-2.64
1539817011887,34.67,37.27,-2.60,-2.64
1539817012090,34.67,37.35,-2.68,-2.64
1539817012293,34.61,37.27,-2.66,-2.64
1539817012496,34.61,37.35,-2.74,-2.64
1539817012699,34.67,37.25,-2.58,-2.64
1539817012887,34.59,37.33,-2.74,-2.64
1539817013090,34.53,37.29,-2.76,-2.64
1539817013293,34.59,37.29,-2.70,-2.64
1539817013496,34.63,37.33,-2.70,-2.64
1539817013699,34.61,37.27,-2.66,-2.65
1539817013887,34.61,37.27,-2.66,-2.65
1539817014090,34.55,37.33,-2.78,-2.65
1539817014293,34.53,37.35,-2.82,-2.65
1539817014496,34.51,37.33,-2.82,-2.65
1539817014684,34.53,37.35,-2.82,-2.65
1539817014903,34.55,37.33,-2.78,-2.66
1539817015090,34.63,37.43,-2.80,-2.66
1539817015293,34.67,37.35,-2.68,-2.66
1539817015497,34.63,37.33,-2.70,-2.66
1539817015684,34.63,37.29,-2.66,-2.67
1539817015903,34.63,37.29,-2.66,-2.67
1539817016090,34.67,37.27,-2.60,-2.67
1539817016293,34.63,37.33,-2.70,-2.67
1539817016497,34.67,37.29,-2.62,-2.67
1539817016684,34.61,37.35,-2.74,-2.68
1539817016887,34.59,37.33,-2.74,-2.68
1539817017090,34.55,37.35,-2.80,-2.68
1539817017294,34.59,37.33,-2.74,-2.68
1539817017497,34.59,37.33,-2.74,-2.68
1539817017684,34.63,37.27,-2.64,-2.68
1539817017887,34.61,37.35,-2.74,-2.68
1539817018090,34.67,37.37,-2.70,-2.69
1539817018294,34.67,37.33,-2.66,-2.69
1539817018497,34.67,37.37,-2.70,-2.69
1539817018700,34.63,37.37,-2.74,-2.69
1539817018887,34.61,37.35,-2.74,-2.69
1539817019091,34.63,37.41,-2.78,-2.69
1539817019294,34.69,37.43,-2.74,-2.70
1539817019481,34.67,37.41,-2.74,-2.70
1539817019700,34.69,37.43,-2.74,-2.70
1539817019888,34.67,37.43,-2.76,-2.70
1539817020091,34.67,37.43,-2.76,-2.70
1539817020294,34.63,37.49,-2.86,-2.70
1539817020481,34.69,37.43,-2.74,-2.70
1539817020684,34.67,37.45,-2.78,-2.71
1539817020888,34.69,37.35,-2.66,-2.71
1539817021091,34.67,37.43,-2.76,-2.71
1539817021294,34.61,37.41,-2.80,-2.71
1539817021481,34.67,37.43,-2.76,-2.71
1539817021684,34.67,37.49,-2.82,-2.72
1539817021888,34.67,37.43,-2.76,-2.72
1539817022091,34.67,37.49,-2.82,-2.72
1539817022294,34.69,37.45,-2.76,-2.72
1539817022481,34.71,37.45,-2.74,-2.72
1539817022684,34.63,37.49,-2.86,-2.73
1539817022888,34.61,37.49,-2.88,-2.73
1539817023091,34.61,37.45,-2.84,-2.73
1539817023294,34.61,37.49,-2.88,-2.73
1539817023482,34.69,37.43,-2.74,-2.73
1539817023685,34.69,37.37,-2.68,-2.74
1539817023888,34.69,37.43,-2.74,-2.74
1539817024091,34.69,37.41,-2.72,-2.74
1539817024294,34.69,37.41,-2.72,-2.75
1539817024482,34.69,37.45,-2.76,-2.74
1539817024685,34.69,37.45,-2.76,-2.75
1539817024888,34.71,37.43,-2.72,-2.75
1539817025091,34.71,37.35,-2.64,-2.75
1539817025279,34.75,37.43,-2.68,-2.75
1539817025482,34.67,37.43,-2.76,-2.75
1539817025685,34.69,37.37,-2.68,-2.75
1539817025888,34.75,37.41,-2.66,-2.75
1539817026091,34.71,37.37,-2.66,-2.75
1539817026279,34.69,37.33,-2.64,-2.75
1539817026482,34.69,37.29,-2.60,-2.75
1539817026685,34.71,37.29,-2.58,-2.75
1539817026889,34.77,37.33,-2.56,-2.74
1539817027092,34.77,37.29,-2.52,-2.74
1539817027279,34.69,37.35,-2.66,-2.74
1539817027482,34.71,37.29,-2.58,-2.73
1539817027685,34.69,37.35,-2.66,-2.73
1539817027889,34.67,37.33,-2.66,-2.73
1539817028092,34.67,37.37,-2.70,-2.73
1539817028279,34.69,37.37,-2.68,-2.72
1539817028482,34.69,37.29,-2.60,-2.72
1539817028685,34.71,37.29,-2.58,-2.72
1539817028889,34.71,37.37,-2.66,-2.71
1539817029076,34.71,37.29,-2.58,-2.71
1539817029279,34.71,37.33,-2.62,-2.71
1539817029482,34.69,37.29,-2.60,-2.70
1539817029686,34.71,37.29,-2.58,-2.70
1539817029889,34.71,37.29,-2.58,-2.70
1539817030076,34.71,37.29,-2.58,-2.70
1539817030280,34.67,37.25,-2.58,-2.69
1539817030482,34.67,37.25,-2.58,-2.69
1539817030686,34.67,37.27,-2.60,-2.69
1539817030889,34.67,37.35,-2.68,-2.68
1539817031077,34.71,37.29,-2.58,-2.68
1539817031280,34.69,37.29,-2.60,-2.68
1539817031483,34.67,37.29,-2.62,-2.67
1539817031686,34.63,37.27,-2.64,-2.67
1539817031874,34.61,37.33,-2.72,-2.67
1539817032077,34.63,37.29,-2.66,-2.67
1539817032280,34.61,37.25,-2.64,-2.67
1539817032483,34.55,37.33,-2.78,-2.66
1539817032686,34.53,37.29,-2.76,-2.67
1539817032874,34.55,37.29,-2.74,-2.66
1539817033093,34.51,37.29,-2.78,-2.66
1539817033280,34.51,37.27,-2.76,-2.66
1539817033483,34.53,37.29,-2.76,-2.66
1539817033686,34.51,37.27,-2.76,-2.67
1539817033874,34.53,37.27,-2.74,-2.67
1539817034077,34.53,37.29,-2.76,-2.67
1539817034280,34.53,37.29,-2.76,-2.67
1539817034483,34.53,37.29,-2.76,-2.67
1539817034686,34.63,37.37,-2.74,-2.67
1539817034874,34.55,37.25,-2.70,-2.67
1539817035078,34.55,37.35,-2.80,-2.68
1539817035281,34.59,37.37,-2.78,-2.68
1539817035484,34.61,37.35,-2.74,-2.68
1539817035687,34.61,37.33,-2.72,-2.68
1539817035875,34.69,37.41,-2.72,-2.68
1539817036078,34.63,37.33,-2.70,-2.69
1539817036281,34.67,37.29,-2.62,-2.69
1539817036484,34.69,37.29,-2.60,-2.69
1539817036687,34.61,37.33,-2.72,-2.69
1539817036890,34.61,37.29,-2.68,-2.69
1539817037078,34.63,37.33,-2.70,-2.69
1539817037281,34.67,37.33,-2.66,-2.69
1539817037484,34.59,37.35,-2.76,-2.69
1539817037671,34.69,37.37,-2.68,-2.69
1539817037875,34.69,37.37,-2.68,-2.69
1539817038078,34.67,37.37,-2.70,-2.69
1539817038281,34.63,37.37,-2.74,-2.69
1539817038484,34.63,37.41,-2.78,-2.69
1539817038671,34.67,37.29,-2.62,-2.69
1539817038875,34.69,37.37,-2.68,-2.69
1539817039078,34.69,37.41,-2.72,-2.69
1539817039281,34.71,37.45,-2.74,-2.69
1539817039484,34.77,37.49,-2.72,-2.69
1539817039672,34.75,37.45,-2.70,-2.69
1539817039875,34.69,37.37,-2.68,-2.69
1539817040078,34.75,37.35,-2.60,-2.69
1539817040281,34.71,37.37,-2.66,-2.70
1539817040484,34.71,37.37,-2.66,-2.69
1539817040687,34.75,37.43,-2.68,-2.70
1539817040875,34.69,37.51,-2.82,-2.70
1539817041078,34.69,37.55,-2.86,-2.70
1539817041281,34.71,37.55,-2.84,-2.70
1539817041484,34.71,37.55,-2.84,-2.70
1539817041672,34.67,37.67,-3.00,-2.70
1539817041875,34.67,37.69,-3.02,-2.70
1539817042078,34.71,37.69,-2.98,-2.71
1539817042281,34.67,37.69,-3.02,-2.71
1539817042484,34.59,37.55,-2.96,-2.72
1539817042672,34.55,37.17,-2.62,-2.73
1539817042875,34.61,36.81,-2.20,-2.73
1539817043079,34.59,36.63,-2.04,-2.73
1539817043282,34.61,36.39,-1.78,-2.73
1539817043469,34.63,35.97,-1.34,-2.73
1539817043672,34.61,35.45,-0.84,-2.72
1539817043876,34.67,35.01,-0.34,-2.70
1539817044079,34.63,34.71,-0.08,-2.68
1539817044282,34.63,34.43,0.20,-2.65
1539817044469,34.67,34.51,0.16,-2.62
1539817044672,34.61,35.23,-0.62,-2.57
1539817044876,34.61,36.17,-1.56,-2.52
1539817045079,34.61,36.73,-2.12,-2.48
1539817045282,34.61,37.21,-2.60,-2.43
1539817045469,34.61,37.61,-3.00,-2.39
1539817045672,34.61,37.91,-3.30,-2.36
1539817045876,34.63,38.01,-3.38,-2.34
1539817046079,34.63,38.05,-3.42,-2.32
1539817046282,34.69,38.11,-3.42,-2.31
1539817046469,34.69,38.19,-3.50,-2.31
1539817046672,34.67,38.19,-3.52,-2.31
1539817046876,34.61,38.19,-3.58,-2.31
1539817047079,34.67,38.13,-3.46,-2.33
1539817047282,34.71,38.21,-3.50,-2.34
1539817047470,34.71,38.25,-3.54,-2.36
1539817047673,34.69,38.17,-3.48,-2.38
1539817047876,34.71,38.19,-3.48,-2.40
